Current State  | Action             | Next State    
---------------|--------------------|---------------
command        | ESCAPE             | navigation    
command        | EXIT_COMMAND_MODE  | navigation    
editing        | ESCAPE             | navigation    
editing        | EXIT_TO_NAVIGATION | navigation    
editing.insert | EXIT_INSERT_MODE   | editing.normal
editing.normal | ENTER_INSERT_MODE  | editing.insert
editing.normal | ENTER_VISUAL_MODE  | editing.visual
editing.visual | EXIT_VISUAL_MODE   | editing.normal
navigation     | ENTER_COMMAND_MODE | command       
navigation     | ENTER_RESIZE_MODE  | resize        
navigation     | START_EDITING      | editing       
resize         | ESCAPE             | navigation    
resize         | EXIT_RESIZE_MODE   | navigation    
